chunk_index,run_id,plan_path,status,resolved_point_count,estimated_point_duration_ms,estimated_run_duration_ms,estimated_run_hours,sweep_points,sweep_duration_ms,error_text
1,probe2_xyz20_z000_y000_080_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z000_y000_080_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
2,probe2_xyz20_z000_y100_180_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z000_y100_180_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
3,probe2_xyz20_z000_y200_280_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z000_y200_280_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
4,probe2_xyz20_z020_y000_080_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z020_y000_080_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
5,probe2_xyz20_z020_y100_180_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z020_y100_180_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
6,probe2_xyz20_z020_y200_280_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z020_y200_280_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
7,probe2_xyz20_z040_y000_080_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z040_y000_080_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
8,probe2_xyz20_z040_y100_180_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z040_y100_180_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
9,probe2_xyz20_z040_y200_280_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z040_y200_280_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
10,probe2_xyz20_z060_y000_080_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z060_y000_080_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
11,probe2_xyz20_z060_y100_180_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z060_y100_180_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
12,probe2_xyz20_z060_y200_280_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z060_y200_280_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
13,probe2_xyz20_z080_y000_080_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z080_y000_080_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
14,probe2_xyz20_z080_y100_180_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z080_y100_180_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
15,probe2_xyz20_z080_y200_280_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z080_y200_280_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
16,probe2_xyz20_z100_y000_080_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z100_y000_080_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
17,probe2_xyz20_z100_y100_180_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z100_y100_180_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
18,probe2_xyz20_z100_y200_280_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z100_y200_280_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
19,probe2_xyz20_z120_y000_080_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z120_y000_080_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
20,probe2_xyz20_z120_y100_180_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z120_y100_180_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
21,probe2_xyz20_z120_y200_280_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z120_y200_280_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
22,probe2_xyz20_z140_y000_080_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z140_y000_080_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
23,probe2_xyz20_z140_y100_180_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z140_y100_180_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
24,probe2_xyz20_z140_y200_280_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z140_y200_280_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
25,probe2_xyz20_z160_y000_080_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z160_y000_080_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
26,probe2_xyz20_z160_y100_180_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z160_y100_180_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
27,probe2_xyz20_z160_y200_280_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z160_y200_280_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
28,probe2_xyz20_z180_y000_080_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z180_y000_080_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
29,probe2_xyz20_z180_y100_180_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z180_y100_180_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
30,probe2_xyz20_z180_y200_280_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z180_y200_280_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
31,probe2_xyz20_z200_y000_080_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z200_y000_080_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
32,probe2_xyz20_z200_y100_180_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z200_y100_180_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
33,probe2_xyz20_z200_y200_280_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z200_y200_280_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
34,probe2_xyz20_z220_y000_080_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z220_y000_080_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
35,probe2_xyz20_z220_y100_180_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z220_y100_180_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
36,probe2_xyz20_z220_y200_280_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z220_y200_280_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
37,probe2_xyz20_z240_y000_080_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z240_y000_080_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
38,probe2_xyz20_z240_y100_180_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z240_y100_180_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
39,probe2_xyz20_z240_y200_280_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z240_y200_280_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
40,probe2_xyz20_z260_y000_080_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z260_y000_080_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
41,probe2_xyz20_z260_y100_180_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z260_y100_180_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
42,probe2_xyz20_z260_y200_280_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z260_y200_280_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
43,probe2_xyz20_z280_y000_080_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z280_y000_080_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
44,probe2_xyz20_z280_y100_180_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z280_y100_180_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
45,probe2_xyz20_z280_y200_280_x000_280_full_2740_3000_500khz_500ms_m75,configs/generated/probe2_xyz20_z280_y200_280_x000_280_full_2740_3000_500khz_500ms_m75.plan.json,ok,75,264900,19867500,5.5187,521,260500,
